"Data","Descrição","Categoria","Parcelas","Crédito","Débito","FOP","Situação"
"01/06/2022","IOF","Impostos","Mensal"," -","5,24","CCorrente Santander","Pago"
"01/06/2022","IOF","Impostos","Mensal"," -","0,17","CCorrente Santander","Pago"
"08/06/2022","Vivo Fibra","Assinatura","Mensal"," -","56,6","CCorrente Santander","Pago"
"08/06/2022","Viva Fibra","Air BNB","Mensal"," -","56,6","CCorrente Santander","Pago"
"07/06/2022","Escelsa","Energia","Mensal"," -","243,24","CCorrente Santander","Pago"
"","Edf Maison Rio Branco","Condomínio","Mensal"," -","","CCorrente Santander","Pago"
"","Vivo Gabriel","celular","Mensal"," -","44,9","CCorrente Santander","Pago"
"","Santander","Seguro","12/12"," -","108,3","CCorrente Santander","Pago"
"26/06/2022","Banco Original","Dívidas","06/24"," -","584,86","CCorrente Santander","Aberto"
"","IPTU","Air BNB","Mensal"," -","103,18","CCorrente Santander","Pago"
"","Vivo Pedro","Celular","Mensal"," -","40,69","CCorrente Santander","Pago"
"","Vivo Priscilla","Celular","Mensal"," -","40,69","CCorrente Santander","Pago"
"08/06/2022","Maria Aparecida","Faxina"," -"," -","110","CCorrente Santander","Pago"
"08/06/2022","Loja de Roupa","Vestuário"," - "," -","220","CCorrente Santander","Pago"
"07/06/2022","DARF Tearte IRPJ","Tearte"," -"," -","25","CCorrente Santander","Pago"
"07/06/2022","Juliano Contador","IRPF"," - "," -","150","CCorrente Santander","Pago"
"06/06/2022","CVC corp","Salário"," -","2731,56","","CCorrente Santander","Pago"
"04/06/2022","Santander	","Dívidas","15/45"," -","602","CCorrente Santander","Pago"
"01/06/2022","CVC corp","FGTS"," - ","600","","CCorrente Santander","Pago"
"06/06/2022","Oticas Diniz","Cuidados Pessoais","9/10"," -","113","CCredito Nubank","Pago"
"06/06/2022","Spotfy","Assinatura","Mensal"," -","19,9","CCredito Nubank","Pago"
"06/06/2022","Globo Play","Assinatura","Mensal"," -","22,9","CCredito Nubank","Pago"
"06/06/2022","Google","Assinatura","Mensal"," -","6,99","CCredito Nubank","Pago"
"06/06/2022","Estima Dog","Felinos","3/3"," -","84,29","CCredito Nubank","Pago"
"06/06/2022","Carone","Alimentação","2/2"," -","173,69","CCredito Nubank","Pago"
"06/06/2022","Celular Ruy","Presente","6/6"," -","111,5","CCredito Nubank","Pago"
